epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,492.828,0.73599,1.51766,1.00718,0.00333,1,0.49965,0.35003,0.8029,3.04859,1.04997,0.00080835,0.00026945,0.00080835,0.00026945,0.00080835,0.00026945,0.00080835,0.00026945
87,495.062,0.61393,1.4235,0.86822,0.00333,1,0.49965,0.35003,0.8029,3.04859,1.04997,0.000766776,0.000255592,0.000766776,0.000255592,0.000766776,0.000255592,0.000766776,0.000255592
88,504.244,0.71889,1.62863,0.99809,0.00857,1,0.50435,0.45302,0.80469,3.0051,1.04861,0.000724014,0.000241338,0.000724014,0.000241338,0.000724014,0.000241338,0.000724014,0.000241338
89,506.512,0.64238,1.38919,0.93554,0.00857,1,0.50435,0.45302,0.80469,3.0051,1.04861,0.000680064,0.000226688,0.000680064,0.000226688,0.000680064,0.000226688,0.000680064,0.000226688
90,508.801,0.93453,1.77906,0.93119,0.00857,1,0.50435,0.45302,0.80469,3.0051,1.04861,0.000634926,0.000211642,0.000634926,0.000211642,0.000634926,0.000211642,0.000634926,0.000211642
91,511.024,0.96993,2.63353,1.15538,0.00857,1,0.50435,0.45302,0.80469,3.0051,1.04861,0.0005886,0.0001962,0.0005886,0.0001962,0.0005886,0.0001962,0.0005886,0.0001962
92,519.868,0.76756,2.19745,1.04921,0.50963,0.5,0.535,0.47754,0.805,2.95821,1.04764,0.000541086,0.000180362,0.000541086,0.000180362,0.000541086,0.000180362,0.000541086,0.000180362
93,522.161,0.71649,2.09259,0.99858,0.50963,0.5,0.535,0.47754,0.805,2.95821,1.04764,0.000492384,0.000164128,0.000492384,0.000164128,0.000492384,0.000164128,0.000492384,0.000164128
94,524.464,0.66075,2.05373,0.93988,0.50963,0.5,0.535,0.47754,0.805,2.95821,1.04764,0.000442494,0.000147498,0.000442494,0.000147498,0.000442494,0.000147498,0.000442494,0.000147498
95,526.727,0.664,2.23401,0.97333,0.50963,0.5,0.535,0.47754,0.805,2.95821,1.04764,0.000391416,0.000130472,0.000391416,0.000130472,0.000391416,0.000130472,0.000391416,0.000130472
96,535.768,0.81981,2.55276,0.95624,0.61519,0.5,0.60611,0.53443,0.78892,2.91103,1.04436,0.00033915,0.00011305,0.00033915,0.00011305,0.00033915,0.00011305,0.00033915,0.00011305
97,538.127,0.65749,2.13208,0.91107,0.61519,0.5,0.60611,0.53443,0.78892,2.91103,1.04436,0.000285696,9.5232e-05,0.000285696,9.5232e-05,0.000285696,9.5232e-05,0.000285696,9.5232e-05
98,540.449,0.71269,2.57968,0.94343,0.61519,0.5,0.60611,0.53443,0.78892,2.91103,1.04436,0.000231054,7.7018e-05,0.000231054,7.7018e-05,0.000231054,7.7018e-05,0.000231054,7.7018e-05
99,542.755,0.73419,1.99184,1.09153,0.61519,0.5,0.60611,0.53443,0.78892,2.91103,1.04436,0.000175224,5.8408e-05,0.000175224,5.8408e-05,0.000175224,5.8408e-05,0.000175224,5.8408e-05
100,551.992,0.76584,2.42277,0.96772,0.70647,0.5,0.66167,0.57888,0.77985,2.86237,1.03994,0.000118206,3.9402e-05,0.000118206,3.9402e-05,0.000118206,3.9402e-05,0.000118206,3.9402e-05
